shift,z_dist,strain,gap
0.4,6.642857142857142,1.0053846153846153,"(0.74583883991863, 1.1417568655578885, 0.39591802563925854)"
0.4,6.642857142857142,1.006923076923077,"(0.7225007395350662, 1.1095157079987232, 0.387014968463657)"
0.4,6.642857142857142,1.0084615384615385,"(0.6970344280245979, 1.075418723662033, 0.378384295637435)"
0.4,6.642857142857142,1.01,"(0.6715139363991748, 1.041809313293391, 0.3702953768942162)"
0.4,6.714285714285714,0.99,"(0.9686955652790212, 1.4600771531011167, 0.49138158782209557)"
0.4,6.714285714285714,0.9915384615384615,"(0.9545257506902961, 1.426208096137682, 0.47168234544738585)"
0.4,6.714285714285714,0.9930769230769231,"(0.938383122200543, 1.3916698056196595, 0.45328668341911643)"
0.4,6.714285714285714,0.9946153846153846,"(0.9233992500972481, 1.3576735976752787, 0.4342743475780307)"
0.4,6.714285714285714,0.9961538461538462,"(0.9072090022981469, 1.3230096461175436, 0.4158006438193967)"
0.4,6.714285714285714,0.9976923076923077,"(0.881533728720266, 1.289077243750819, 0.4075435150305529)"
0.4,6.714285714285714,0.9992307692307693,"(0.8571026574437937, 1.256086235625381, 0.3989835781815873)"
0.4,6.714285714285714,1.0007692307692309,"(0.8324496522014655, 1.2230435755580022, 0.3905939233565368)"
0.4,6.714285714285714,1.0023076923076923,"(0.8081361491085766, 1.1897992911050104, 0.38166314199643386)"
0.4,6.714285714285714,1.0038461538461538,"(0.7831394610245348, 1.1564795708816535, 0.3733401098571187)"
0.4,6.714285714285714,1.0053846153846153,"(0.759482434264857, 1.1241508531866866, 0.36466841892182966)"
0.4,6.714285714285714,1.006923076923077,"(0.7371374259161302, 1.0927168156634153, 0.3555793897472851)"
0.4,6.714285714285714,1.0084615384615385,"(0.7136835586354586, 1.0604862961859007, 0.3468027375504421)"
0.4,6.714285714285714,1.01,"(0.6869081429652739, 1.0261490922315253, 0.3392409492662513)"
0.4,6.785714285714286,0.99,"(0.9643009399134533, 1.4440904175574583, 0.4797894776440049)"
0.4,6.785714285714286,0.9915384615384615,"(0.9476886263258062, 1.4091592809933704, 0.46147065466756426)"
0.4,6.785714285714286,0.9930769230769231,"(0.9316684093179485, 1.374458367246473, 0.4427899579285245)"
0.4,6.785714285714286,0.9946153846153846,"(0.918211584964127, 1.3417844820595346, 0.4235728970954075)"
0.4,6.785714285714286,0.9961538461538462,"(0.9019258933450862, 1.3070571707672465, 0.40513127742216026)"
0.4,6.785714285714286,0.9976923076923077,"(0.8870765377218287, 1.2732469816383256, 0.3861704439164969)"
0.4,6.785714285714286,0.9992307692307693,"(0.8737930664825637, 1.2411609411137376, 0.367367874631174)"
0.4,6.785714285714286,1.0007692307692309,"(0.84727267183235, 1.20714359928926, 0.35987092745691)"
0.4,6.785714285714286,1.0023076923076923,"(0.8210068214273596, 1.1729806720864546, 0.35197385065909503)"
0.4,6.785714285714286,1.0038461538461538,"(0.7985106805037092, 1.1417449944563, 0.3432343139525909)"
0.4,6.785714285714286,1.0053846153846153,"(0.773536426023531, 1.108552977359541, 0.33501655133601005)"
0.4,6.785714285714286,1.006923076923077,"(0.7497542655000891, 1.0763240138143881, 0.3265697483142991)"
0.4,6.785714285714286,1.0084615384615385,"(0.7247825351585251, 1.0430747698723635, 0.31829223471383844)"
0.4,6.785714285714286,1.01,"(0.7027509796072018, 1.0117891836512054, 0.3090382040440036)"
0.4,6.857142857142857,0.99,"(0.9569800069610244, 1.4265830796966021, 0.46960307273557783)"
0.4,6.857142857142857,0.9915384615384615,"(0.9417716623837662, 1.3924383764876014, 0.4506667141038352)"
